   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.003    0.000 __init__.py:411(flex_arith_method_FRAME)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
     2648    0.002    0.000    0.003    0.000 __init__.py:414(_strip_comment)
        1    0.000    0.000    0.000    0.000 __init__.py:415(dev)
        1    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:428(PossibleDataLossError)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:440(ClosedFileError)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:45(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:453(IncompatibilityWarning)
        6    0.000    0.000    0.001    0.000 __init__.py:456(flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:459(AttributeConflictWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:459(_get_xdg_config_dir)
       21    0.000    0.000    0.000    0.000 __init__.py:468(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 __init__.py:469(DatabaseError)
        1    0.000    0.000    0.000    0.000 __init__.py:469(_get_xdg_cache_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:478(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:482(PossiblePrecisionLoss)
        1    0.000    0.000    0.000    0.000 __init__.py:497(ValueLabelTypeMismatch)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
